customer_id,customer_name,region,signup_date
1,Customer_1,East,2022-01-01
2,Customer_2,West,2022-01-02
3,Customer_3,North,2022-01-03
4,Customer_4,East,2022-01-04
5,Customer_5,East,2022-01-05
6,Customer_6,West,2022-01-06
7,Customer_7,North,2022-01-07
8,Customer_8,North,2022-01-08
9,Customer_9,East,2022-01-09
10,Customer_10,South,2022-01-10
11,Customer_11,East,2022-01-11
12,Customer_12,East,2022-01-12
13,Customer_13,East,2022-01-13
14,Customer_14,East,2022-01-14
15,Customer_15,West,2022-01-15
16,Customer_16,North,2022-01-16
17,Customer_17,West,2022-01-17
18,Customer_18,West,2022-01-18
19,Customer_19,West,2022-01-19
20,Customer_20,East,2022-01-20
21,Customer_21,South,2022-01-21
22,Customer_22,North,2022-01-22
23,Customer_23,South,2022-01-23
24,Customer_24,West,2022-01-24
25,Customer_25,West,2022-01-25
26,Customer_26,South,2022-01-26
27,Customer_27,South,2022-01-27
28,Customer_28,South,2022-01-28
29,Customer_29,West,2022-01-29
30,Customer_30,West,2022-01-30
31,Customer_31,North,2022-01-31
32,Customer_32,North,2022-02-01
33,Customer_33,West,2022-02-02
34,Customer_34,South,2022-02-03
35,Customer_35,South,2022-02-04
36,Customer_36,North,2022-02-05
37,Customer_37,West,2022-02-06
38,Customer_38,North,2022-02-07
39,Customer_39,North,2022-02-08
40,Customer_40,East,2022-02-09
41,Customer_41,East,2022-02-10
42,Customer_42,East,2022-02-11
43,Customer_43,South,2022-02-12
44,Customer_44,West,2022-02-13
45,Customer_45,West,2022-02-14
46,Customer_46,West,2022-02-15
47,Customer_47,West,2022-02-16
48,Customer_48,East,2022-02-17
49,Customer_49,South,2022-02-18
50,Customer_50,South,2022-02-19
51,Customer_51,East,2022-02-20
52,Customer_52,South,2022-02-21
53,Customer_53,East,2022-02-22
54,Customer_54,West,2022-02-23
55,Customer_55,East,2022-02-24
56,Customer_56,West,2022-02-25
57,Customer_57,West,2022-02-26
58,Customer_58,North,2022-02-27
59,Customer_59,East,2022-02-28
60,Customer_60,North,2022-03-01
61,Customer_61,East,2022-03-02
62,Customer_62,East,2022-03-03
63,Customer_63,North,2022-03-04
64,Customer_64,North,2022-03-05
65,Customer_65,East,2022-03-06
66,Customer_66,South,2022-03-07
67,Customer_67,West,2022-03-08
68,Customer_68,North,2022-03-09
